credit_score,salary,loan_amount,experience_years,company_stability,education_level,college_tier,device_age_days,email_age_years,upi_usage,phone_verified,linkedin_skills_count,linkedin_verified,vpn_usage,multiple_devices,disposable_email,impossible_login,job_stability_score,education_score,linkedin_score,device_trust_score,email_trust_score,default
643,240524,77356,12,2,2,3,992,8,1,1,43,1,0,0,0,0,6.000000000000001,4.0,10.0,8.96,8.8,0
791,211349,59698,4,8,2,3,861,6,2,1,45,1,0,0,0,0,6.4,4.0,10.0,8.305,7.6,0
713,127044,21191,11,9,3,3,14,10,1,1,44,1,0,1,0,0,9.8,5.5,10.0,4.07,10.0,0
685,201062,89631,13,7,2,1,726,4,2,1,31,1,0,0,0,0,9.4,6.0,10.0,7.63,6.4,0
491,148406,15529,5,3,1,2,379,2,2,1,4,0,0,0,0,0,3.8,3.5,1.6,5.895,5.2,0
576,213960,37175,21,4,4,1,467,7,2,0,11,1,0,0,1,0,10.0,9.0,8.85,2.335,4.2,0
460,89351,22675,8,2,3,3,254,11,0,1,39,1,0,0,0,0,4.4,5.5,10.0,5.27,10.0,0
759,248444,48158,16,9,1,3,258,6,0,0,5,0,0,0,0,0,10.0,2.5,3.95,1.29,7.6,0
613,201071,51798,7,5,2,3,954,3,1,1,17,0,0,0,0,0,5.800000000000001,4.0,3.95,8.77,5.8,0
321,90309,75910,12,2,3,2,444,0,2,1,6,0,0,1,0,1,6.000000000000001,6.5,3.3000000000000003,6.220000000000001,4.0,0
552,163518,30976,4,6,5,1,429,12,0,1,18,1,1,0,0,0,5.199999999999999,10.0,6.5,6.145,10.0,0
774,181805,68116,21,7,5,3,114,2,1,1,14,1,0,0,0,0,10.0,8.5,9.3,4.57,5.2,0
358,139156,83678,21,2,4,3,251,10,2,1,41,0,0,0,0,0,9.6,7.0,10.0,5.255,10.0,0
810,96000,67821,16,1,1,3,281,7,0,1,8,1,0,1,0,0,7.0,2.5,7.4,5.405,8.2,0
775,199704,17204,2,7,4,2,528,1,2,1,19,1,0,0,0,0,5.0,8.0,6.25,6.640000000000001,4.6,0
489,41576,60665,5,1,4,2,745,8,2,1,47,1,1,0,0,0,2.6,8.0,10.0,7.725,8.8,0
543,23320,12394,13,3,2,1,738,13,2,0,19,0,0,0,0,0,7.0,6.0,5.45,3.69,10.0,0
804,161822,69814,14,4,2,3,53,3,2,1,3,1,0,0,0,0,8.0,4.0,6.25,4.265,5.8,0
430,123002,38593,13,2,2,2,35,14,0,0,9,1,0,0,0,0,6.4,5.0,6.95,1.0,10.0,0
784,204535,46964,10,7,3,3,813,13,1,1,41,0,0,0,1,0,8.2,5.5,8.149999999999999,8.065000000000001,7.8,0
320,46572,82188,10,5,2,3,190,6,1,1,39,0,0,0,0,0,7.0,4.0,7.85,4.95,7.6,0
466,37948,58365,8,1,1,2,613,9,1,1,0,1,0,1,0,0,3.8000000000000003,3.5,4.6,7.0649999999999995,9.399999999999999,0
573,136528,5443,5,8,1,2,437,11,1,1,34,1,0,0,1,0,6.8,3.5,9.1,6.1850000000000005,6.6,0
687,189898,94439,14,7,2,3,277,6,2,1,23,1,0,0,0,0,9.8,4.0,9.25,5.385,7.6,0
615,109051,33180,11,4,2,1,867,11,1,1,43,1,0,0,0,0,6.800000000000001,6.0,10.0,8.335,10.0,0
313,47867,53791,5,2,3,2,589,7,1,1,6,1,0,0,0,0,3.2,6.5,4.9,6.945,8.2,0
541,211303,91655,0,7,1,3,885,6,2,1,21,1,0,0,0,0,4.2,2.5,6.15,8.425,7.6,0
645,217334,80899,24,2,4,3,160,10,0,1,22,1,0,0,0,0,10.0,7.0,10.0,4.8,10.0,0
639,242428,48665,15,6,4,3,625,3,1,1,0,0,0,0,0,0,9.6,7.0,3.0,7.125,5.8,0
391,223305,8465,19,1,4,2,609,12,1,1,23,1,0,0,1,0,8.200000000000001,8.0,10.0,7.045,7.199999999999999,0
666,64678,73247,14,7,3,3,104,11,2,0,19,1,0,0,0,0,9.8,5.5,8.65,1.0,10.0,0
754,127561,56559,1,7,1,2,391,6,2,1,31,1,0,0,0,0,4.6000000000000005,3.5,7.85,5.955,7.6,0
727,32963,30198,16,4,2,2,807,4,2,0,30,1,0,0,0,0,8.8,5.0,10.0,4.035,6.4,0
808,215432,59740,2,4,1,2,840,14,1,1,32,0,0,0,0,1,3.2,3.5,5.2,8.2,10.0,0
334,69434,27488,2,5,5,2,524,11,2,1,35,1,0,0,0,0,3.8,9.5,8.65,6.62,10.0,0
505,86617,43515,4,2,2,3,729,9,1,1,17,1,0,0,0,0,2.8,4.0,6.35,7.645,9.399999999999999,0
380,171341,94144,16,9,2,3,939,6,2,1,36,1,0,0,0,0,10.0,4.0,10.0,8.695,7.6,0
687,137569,32898,22,4,3,3,623,2,2,0,32,1,0,0,0,0,10.0,5.5,10.0,3.115,5.2,0
301,227384,6919,16,9,4,3,869,9,2,0,32,1,0,0,0,0,10.0,7.0,10.0,4.345,9.399999999999999,0
689,117352,55070,19,3,3,2,698,10,2,1,4,1,0,0,0,0,9.4,6.5,7.4,7.49,10.0,0
405,99732,67613,5,9,3,1,437,6,1,1,17,1,0,0,0,0,7.3999999999999995,7.5,6.55,6.1850000000000005,7.6,0
776,127648,91135,0,1,2,3,434,6,1,1,8,1,0,1,0,0,1.0,4.0,4.2,6.17,7.6,0
701,101494,87501,6,7,3,3,825,1,2,1,41,1,0,0,0,0,6.6000000000000005,5.5,10.0,8.125,4.6,0
461,239977,52003,14,4,1,2,208,7,1,1,30,0,0,0,0,0,8.0,3.5,7.300000000000001,5.04,8.2,0
501,97225,53478,6,7,4,1,17,6,2,1,6,1,0,0,0,0,6.6000000000000005,9.0,5.1,4.085,7.6,0
569,102867,19434,18,6,2,2,912,8,2,1,14,1,0,0,0,0,10.0,5.0,8.7,8.559999999999999,8.8,0
570,188600,51246,19,4,1,2,766,11,2,1,45,1,0,0,0,0,10.0,3.5,10.0,7.83,10.0,0
755,98972,41649,21,4,4,2,814,3,2,1,3,1,0,0,0,0,10.0,8.0,7.65,8.07,5.8,0
761,216674,64030,10,8,2,2,960,8,1,1,45,1,0,0,0,0,8.8,5.0,10.0,8.8,8.8,0
551,116261,58061,22,7,4,2,336,0,1,1,38,0,0,0,0,0,10.0,8.0,10.0,5.68,4.0,0
595,110748,6999,13,4,4,2,699,4,1,1,7,1,0,0,0,0,7.6,8.0,6.65,7.495,6.4,0
637,184404,19849,12,6,3,2,603,9,1,1,23,1,0,0,0,0,8.4,6.5,8.85,7.015000000000001,9.399999999999999,0
352,144481,81439,19,6,1,3,633,6,2,1,7,1,0,0,0,0,10.0,2.5,7.8500000000000005,7.165,7.6,0
516,242009,57800,24,1,2,3,880,3,1,0,4,1,0,0,0,0,10.0,4.0,8.4,4.4,5.8,0
487,149529,10445,8,2,4,3,30,12,2,0,22,0,0,0,0,0,4.4,7.0,4.9,1.0,10.0,0
679,230001,23040,8,4,4,3,555,14,1,1,42,1,0,0,0,0,5.6,7.0,10.0,6.775,10.0,0
792,220278,69315,15,6,2,3,264,6,2,1,33,1,0,0,0,0,9.6,4.0,10.0,5.32,7.6,0
340,242209,5246,11,6,2,2,442,13,2,1,14,0,0,0,0,0,8.0,5.0,4.300000000000001,6.21,10.0,0
456,22251,36153,9,1,1,2,514,11,2,1,49,0,0,0,0,0,4.2,3.5,9.15,6.57,10.0,0
314,196789,10212,5,8,5,3,36,14,2,0,46,1,0,1,0,0,6.8,8.5,10.0,1.0,10.0,0
364,119108,8339,17,2,2,3,529,8,2,1,18,1,0,0,0,0,8.0,4.0,9.1,6.645,8.8,0
820,178099,93678,1,5,1,2,939,12,2,1,24,1,0,0,0,0,3.4,3.5,6.8,8.695,10.0,0
643,117382,61238,19,4,3,3,539,13,2,1,38,0,0,0,0,0,10.0,5.5,9.5,6.695,10.0,0
428,237623,24394,8,5,2,2,956,4,2,1,3,1,0,0,0,0,6.2,5.0,5.05,8.780000000000001,6.4,0
771,29583,58871,18,5,4,2,509,4,2,1,45,1,0,0,0,0,10.0,8.0,10.0,6.545,6.4,0
362,70387,82722,5,8,1,2,242,1,2,0,7,1,0,0,0,0,6.8,3.5,5.05,1.21,4.6,0
438,43104,39607,1,7,1,2,405,13,0,1,28,0,0,0,0,0,4.6000000000000005,3.5,4.4,6.025,10.0,0
798,32224,57055,14,9,2,1,991,4,2,1,41,1,0,0,0,0,10.0,6.0,10.0,8.955,6.4,0
691,80624,9395,16,1,2,3,316,7,1,1,12,0,0,0,0,0,7.0,4.0,5.0,5.58,8.2,0
718,207130,20290,15,6,1,2,519,3,1,1,37,1,0,0,0,0,9.6,3.5,10.0,6.595000000000001,5.8,0
588,124320,92687,20,6,2,1,712,1,1,0,35,1,0,0,0,0,10.0,6.0,10.0,3.56,4.6,0
678,247444,70078,7,2,2,1,433,7,1,1,36,1,0,1,0,0,4.0,6.0,9.8,6.165,8.2,0
789,180371,8691,9,8,4,3,159,3,1,1,41,1,0,0,0,0,8.4,7.0,10.0,4.795,5.8,0
530,98572,12470,9,6,1,3,401,13,2,1,44,1,0,0,0,0,7.199999999999999,2.5,10.0,6.005,10.0,0
340,105469,8841,17,9,5,1,499,12,2,1,42,1,0,0,0,0,10.0,10.0,10.0,6.495,10.0,0
327,97928,68197,9,5,3,1,677,4,0,1,30,1,0,0,0,0,6.6,7.5,9.3,7.385,6.4,0
434,224546,60773,8,7,1,2,955,13,2,1,18,1,0,0,0,1,7.4,3.5,7.3,8.775,10.0,0
500,24141,22776,23,6,1,3,56,11,1,1,36,1,0,0,0,0,10.0,2.5,10.0,4.28,10.0,0
332,174422,76596,18,5,2,2,321,6,0,1,24,1,0,0,0,0,10.0,5.0,10.0,5.605,7.6,0
347,226154,32584,0,6,2,2,937,10,2,1,36,1,0,0,0,0,3.5999999999999996,5.0,8.399999999999999,8.684999999999999,10.0,0
802,90871,9300,3,4,2,2,148,4,2,1,0,1,0,0,0,0,3.6,5.0,3.6,4.74,6.4,0
706,156149,8338,23,3,2,2,414,12,1,1,20,1,0,0,0,0,10.0,5.0,10.0,6.07,10.0,0
398,66015,67601,2,1,3,3,931,14,1,1,40,0,0,0,0,0,1.4,5.5,6.4,8.655000000000001,10.0,0
846,222219,10487,9,1,2,1,663,9,1,1,38,1,0,0,0,0,4.2,6.0,10.0,7.3149999999999995,9.399999999999999,0
761,210252,41282,11,6,1,2,856,3,2,1,40,1,0,0,0,0,8.0,3.5,10.0,8.280000000000001,5.8,0
304,191929,81816,17,9,2,3,23,14,1,1,25,0,0,0,0,0,10.0,4.0,7.15,4.115,10.0,0
517,210912,33804,22,8,3,3,981,6,2,1,41,1,0,0,0,0,10.0,5.5,10.0,8.905000000000001,7.6,0
802,79902,14915,19,2,1,1,877,12,2,0,2,1,0,0,0,0,8.8,4.5,7.1000000000000005,4.385,10.0,0
697,25577,16158,5,9,4,3,780,3,2,1,49,1,0,0,1,0,7.3999999999999995,7.0,10.0,7.9,1.7999999999999998,0
692,40002,79157,20,8,2,3,757,9,2,1,40,1,0,0,0,0,10.0,4.0,10.0,7.785,9.399999999999999,0
506,70711,15547,1,9,5,2,962,11,2,0,4,1,0,0,0,0,5.8,9.5,3.8,4.81,10.0,0
314,59451,93713,9,4,1,2,899,3,2,1,42,1,0,0,0,0,6.0,3.5,10.0,8.495000000000001,5.8,0
760,200175,7459,1,9,5,2,528,14,2,1,28,1,0,0,0,0,5.8,9.5,7.4,6.640000000000001,10.0,0
540,179719,33768,8,2,3,2,560,1,1,1,32,1,0,0,0,0,4.4,6.5,9.4,6.8,4.6,0
395,54831,68146,9,1,2,2,194,4,2,0,1,1,0,0,0,0,4.2,5.0,4.95,1.0,6.4,0
784,116498,55870,1,9,2,3,124,7,1,0,17,1,0,0,0,0,5.8,4.0,5.75,1.0,8.2,0
706,148949,55460,7,8,1,3,119,3,2,1,13,1,0,0,0,0,7.6,2.5,6.35,4.595,5.8,0
530,115119,87970,23,7,4,2,586,10,1,1,39,1,0,1,0,0,10.0,8.0,10.0,6.93,10.0,0
470,86830,65817,16,8,3,2,752,12,1,1,29,1,1,0,0,0,10.0,6.5,10.0,7.76,10.0,0
840,100632,43247,16,1,1,2,290,14,1,1,28,1,0,0,0,0,7.0,3.5,10.0,5.45,10.0,0
335,56833,20419,3,9,1,3,552,1,2,1,28,0,0,0,0,0,6.6,2.5,4.800000000000001,6.76,4.6,0
824,243936,40577,17,9,1,3,95,8,1,1,18,1,0,0,0,0,10.0,2.5,9.1,4.475,8.8,0
459,44398,7921,11,9,3,2,147,5,1,1,45,1,0,0,0,0,9.8,6.5,10.0,4.735,7.0,0
542,81554,9676,16,6,3,3,475,2,1,1,25,1,0,0,0,0,10.0,5.5,9.95,6.375,5.2,0
385,70755,90961,8,4,2,2,86,12,1,1,45,1,0,1,0,0,5.6,5.0,10.0,4.43,10.0,0
327,168778,54684,18,2,2,3,977,13,2,1,39,1,0,0,0,0,8.4,4.0,10.0,8.885,10.0,0
639,173412,18463,13,4,2,2,146,9,1,1,8,1,0,0,0,0,7.6,5.0,6.8,4.73,9.399999999999999,0
630,84994,30474,13,7,2,2,643,10,0,1,45,0,0,0,0,1,9.4,5.0,9.35,7.215,10.0,0
805,83884,45935,16,1,1,2,984,4,2,1,43,1,0,0,0,0,7.0,3.5,10.0,8.92,6.4,0
647,104361,72005,1,9,2,3,785,5,2,1,12,0,0,0,0,0,5.8,4.0,1.9999999999999998,7.925,7.0,0
772,37482,63596,7,3,1,3,106,8,2,1,37,1,0,0,0,0,4.6,2.5,9.95,4.53,8.8,0
530,74225,77828,4,4,4,3,540,4,2,1,30,1,1,0,0,0,4.0,7.0,8.3,6.7,6.4,0
489,209921,95945,6,5,3,1,807,8,0,1,13,1,0,0,0,0,5.4,7.5,6.15,8.035,8.8,0
524,94854,94062,21,3,5,2,18,0,2,1,30,1,0,0,0,0,10.0,9.5,10.0,4.09,4.0,0
684,61256,60152,15,4,2,2,92,11,2,1,14,0,0,0,0,0,8.4,5.0,5.1,4.46,10.0,0
676,128721,94001,15,5,4,3,56,14,2,1,33,1,0,0,0,0,9.0,7.0,10.0,4.28,10.0,0
582,101110,97321,16,1,3,3,521,9,2,1,49,1,1,0,0,0,7.0,5.5,10.0,6.605,9.399999999999999,0
558,133606,91569,21,9,2,3,439,3,1,1,9,0,0,0,0,0,10.0,4.0,5.55,6.195,5.8,0
658,34650,77467,6,4,2,3,99,0,1,1,20,1,0,0,0,0,4.800000000000001,4.0,7.2,4.495,4.0,0
755,197190,57576,19,9,3,3,522,1,2,1,38,1,0,0,0,0,10.0,5.5,10.0,6.609999999999999,4.6,0
710,48930,71627,7,4,4,3,908,1,0,0,24,1,0,0,0,0,5.2,7.0,8.0,4.54,4.6,0
617,236779,30772,7,1,2,2,683,9,2,1,36,1,0,0,0,0,3.4000000000000004,5.0,9.8,7.415,9.399999999999999,0
524,120400,21363,22,5,1,3,674,10,2,1,39,1,0,0,0,0,10.0,2.5,10.0,7.37,10.0,0
533,31801,33490,10,9,3,3,423,4,1,1,19,1,0,0,0,0,9.399999999999999,5.5,7.85,6.115,6.4,0
673,71360,64004,14,3,5,2,522,0,1,1,44,0,1,0,0,0,7.4,9.5,9.4,6.609999999999999,4.0,0
771,107908,58806,17,5,3,3,900,9,1,0,6,1,0,0,0,1,9.8,5.5,7.300000000000001,4.5,9.399999999999999,0
532,167631,5260,5,3,2,2,667,13,0,1,17,1,0,0,0,0,3.8,5.0,6.55,7.335,10.0,0
412,52334,80992,21,3,2,2,682,2,0,1,40,1,0,0,0,0,10.0,5.0,10.0,7.41,5.2,0
796,33288,27320,11,1,2,3,914,10,1,1,43,1,0,0,0,0,5.0,4.0,10.0,8.57,10.0,0
741,173470,83971,14,2,4,2,656,5,0,1,25,1,0,0,0,0,6.800000000000001,8.0,9.55,7.279999999999999,7.0,0
567,227302,47145,22,2,3,2,807,0,1,1,16,1,0,0,0,0,10.0,6.5,9.8,8.035,4.0,0
809,32191,68688,5,9,2,3,86,11,1,1,41,1,0,0,0,0,7.3999999999999995,4.0,10.0,4.43,10.0,0
685,38051,53581,17,7,2,1,90,10,2,0,6,0,0,0,0,0,10.0,6.0,4.300000000000001,1.0,10.0,0
686,81715,97561,23,8,4,1,790,0,2,1,27,1,0,0,0,0,10.0,9.0,10.0,7.95,4.0,0
412,30737,98645,19,2,3,3,790,2,1,1,20,1,0,0,0,0,8.8,5.5,9.8,7.95,5.2,0
380,85140,25754,8,9,5,2,563,8,1,0,36,1,0,0,0,0,8.6,9.5,10.0,2.815,8.8,0
412,176323,74837,7,3,2,2,645,1,2,1,22,1,0,0,0,0,4.6,5.0,7.7,7.225,4.6,0
301,202047,12207,13,2,3,2,751,14,1,1,46,1,0,0,0,0,6.4,6.5,10.0,7.755,10.0,0
519,25147,32920,18,1,3,1,878,11,2,1,47,1,0,0,0,0,7.8,7.5,10.0,8.39,10.0,0
524,70508,92739,18,9,2,1,211,5,1,1,47,1,0,0,0,0,10.0,6.0,10.0,5.055,7.0,0
684,72224,92081,7,8,5,3,855,2,1,1,9,1,0,0,0,0,7.6,8.5,5.75,8.275,5.2,0
702,39643,29016,1,4,1,2,456,5,2,1,45,1,0,0,0,0,2.8,3.5,9.95,6.279999999999999,7.0,0
429,58967,65522,24,7,3,2,116,10,2,1,16,1,0,0,1,0,10.0,6.5,10.0,4.58,6.0,0
352,249922,79092,3,3,5,3,974,10,2,1,37,0,0,0,0,0,3.0,8.5,6.15,8.870000000000001,10.0,0
715,123535,59068,5,3,2,3,301,6,1,1,0,1,0,0,0,0,3.8,4.0,4.0,5.505,7.6,0
546,60733,25102,2,4,3,1,812,12,2,1,10,1,0,0,0,0,3.2,7.5,4.9,8.059999999999999,10.0,0
738,235075,6924,2,2,2,3,695,12,2,1,32,1,0,0,0,0,2.0,4.0,8.2,7.475,10.0,0
502,54808,90015,18,4,3,3,950,6,2,1,30,0,0,1,0,0,9.6,5.5,8.1,8.75,7.6,0
483,218360,59333,10,3,4,3,321,13,2,1,43,1,0,0,0,0,5.8,7.0,10.0,5.605,10.0,0
422,78959,89458,9,8,3,3,608,1,2,1,23,1,0,0,0,0,8.4,5.5,8.25,7.04,4.6,0
700,152921,89196,11,2,3,2,526,2,2,1,19,0,0,0,0,0,5.6000000000000005,6.5,5.050000000000001,6.63,5.2,0
593,88178,51099,13,9,2,2,693,3,1,1,46,1,0,0,0,0,10.0,5.0,10.0,7.465,5.8,0
579,218208,62346,17,3,2,2,642,7,2,1,4,1,0,0,0,0,8.600000000000001,5.0,7.0,7.21,8.2,0
497,211812,80481,23,4,2,3,677,4,2,1,41,1,0,0,0,0,10.0,4.0,10.0,7.385,6.4,0
810,132255,55062,8,3,3,3,608,0,2,1,25,1,0,0,0,0,5.0,5.5,8.35,7.04,4.0,0
443,106322,5306,14,3,1,1,435,8,2,1,48,1,0,0,0,0,7.4,4.5,10.0,6.175,8.8,0
500,64565,93495,23,8,3,1,619,0,1,1,41,0,0,0,0,0,10.0,7.5,10.0,7.095000000000001,4.0,0
423,171255,74767,2,8,2,3,424,1,2,1,6,1,0,0,0,0,5.6,4.0,4.3,6.12,4.6,0
486,21132,17207,22,6,3,2,144,6,0,1,26,0,0,0,0,0,10.0,6.5,8.3,4.72,7.6,0
625,189331,44426,10,4,1,2,528,10,2,1,17,1,0,0,0,0,6.4,3.5,7.55,6.640000000000001,10.0,0
763,247684,11336,9,1,3,3,781,2,0,1,37,0,0,0,0,0,4.2,5.5,7.35,7.904999999999999,5.2,0
648,83668,80166,17,4,3,2,373,5,2,1,30,1,0,0,0,0,9.200000000000001,6.5,10.0,5.865,7.0,0
702,189635,22256,3,8,4,2,393,7,2,1,8,1,0,0,0,0,6.0,8.0,4.8,5.965,8.2,0
645,243299,54817,12,6,3,2,41,4,2,1,1,1,0,0,0,0,8.4,6.5,5.550000000000001,4.205,6.4,0
810,128835,38719,5,2,3,3,549,0,2,0,43,0,0,0,0,0,3.2,5.5,7.45,2.745,4.0,0
446,162003,47017,20,3,4,2,961,9,2,1,36,1,0,0,0,0,9.8,8.0,10.0,8.805,9.399999999999999,0
447,93169,50704,12,7,3,3,781,13,0,1,46,1,0,0,0,0,9.0,5.5,10.0,7.904999999999999,10.0,0
788,201711,35013,24,4,2,2,496,11,2,1,44,1,0,0,0,0,10.0,5.0,10.0,6.48,10.0,0
637,209973,84991,19,4,4,3,765,2,2,1,28,1,0,0,0,0,10.0,7.0,10.0,7.825,5.2,0
772,120417,75258,4,5,3,1,374,10,2,1,33,1,0,0,0,0,4.6,7.5,8.75,5.87,10.0,0
450,21044,83348,19,8,2,2,273,1,2,1,14,1,0,0,0,0,10.0,5.0,8.9,5.365,4.6,0
714,197763,41776,13,7,3,3,151,5,2,1,45,1,0,0,1,0,9.4,5.5,10.0,4.755,3.0,0
597,44363,15060,12,9,4,2,39,13,1,1,8,1,1,0,0,1,10.0,8.0,6.6000000000000005,4.195,10.0,0
562,66694,83592,13,5,5,3,908,4,2,1,15,1,0,1,0,0,8.2,8.5,7.85,8.54,6.4,0
443,152654,11655,7,1,5,2,139,6,0,1,1,1,0,0,0,0,3.4000000000000004,9.5,4.55,4.695,7.6,0
645,230982,93110,15,4,2,1,787,1,1,1,0,1,0,0,0,0,8.4,6.0,6.0,7.9350000000000005,4.6,0
301,217916,54923,12,6,2,3,79,13,2,0,8,1,0,0,0,0,8.4,4.0,6.6000000000000005,1.0,10.0,0
603,41301,83563,23,6,1,3,128,12,2,1,19,0,1,0,0,0,10.0,2.5,7.450000000000001,4.64,10.0,0
553,94329,9030,14,9,2,1,336,5,1,1,45,1,0,0,0,0,10.0,6.0,10.0,5.68,7.0,0
752,21620,94779,18,5,4,3,921,10,2,1,1,1,0,0,0,0,10.0,7.0,6.75,8.605,10.0,0
336,82224,38289,0,5,2,2,79,4,1,1,0,1,0,0,0,0,3.0,5.0,3.0,4.395,6.4,0
459,207727,24739,21,6,3,1,217,5,2,1,9,0,0,0,0,0,10.0,7.5,5.55,5.085,7.0,0
308,115419,66687,1,6,3,2,100,14,1,1,22,1,1,0,0,0,3.9999999999999996,6.5,6.5,4.5,10.0,0
532,188606,41491,17,3,3,2,129,14,1,1,18,0,0,0,0,0,8.600000000000001,6.5,6.1,4.645,10.0,0
398,140050,77115,18,6,1,1,981,4,2,0,17,1,0,0,0,0,10.0,4.5,9.15,4.905,6.4,0
507,190462,88778,7,8,2,3,991,6,2,1,23,0,0,0,0,0,7.6,4.0,4.85,8.955,7.6,0
430,222701,9781,2,6,2,2,216,4,1,1,21,1,0,0,0,0,4.3999999999999995,5.0,6.55,5.08,6.4,0
703,75856,25448,22,5,2,2,415,14,1,1,19,1,0,0,0,0,10.0,5.0,10.0,6.075,10.0,0
451,200324,56550,13,3,5,3,777,13,1,1,10,1,0,0,0,0,7.0,8.5,7.1,7.885,10.0,0
353,75809,54294,8,1,3,2,556,12,1,1,8,1,0,0,0,0,3.8000000000000003,6.5,5.8,6.779999999999999,10.0,0
419,42259,26446,7,5,2,2,133,6,0,0,14,1,0,0,1,0,5.800000000000001,5.0,6.5,1.0,3.5999999999999996,0
719,40655,81579,16,6,4,2,121,0,2,1,15,1,0,0,0,0,10.0,8.0,8.45,4.605,4.0,0
721,184077,90389,22,6,2,2,216,14,2,1,12,1,0,0,0,0,10.0,5.0,9.2,5.08,10.0,0
403,182701,90615,22,6,3,2,992,8,2,1,5,1,0,1,0,0,10.0,6.5,8.15,8.96,8.8,0
553,174682,22101,23,3,2,2,623,5,0,1,24,1,0,0,0,0,10.0,5.0,10.0,7.115,7.0,0
526,208256,71178,15,4,3,3,954,8,2,1,46,0,0,0,0,0,8.4,5.5,9.899999999999999,8.77,8.8,0
411,41602,33016,9,3,2,3,395,0,2,1,14,0,0,0,0,0,5.4,4.0,3.9000000000000004,5.975,4.0,0
809,105945,23932,20,2,1,3,715,1,1,1,17,0,0,0,0,0,9.2,2.5,6.55,7.575,4.6,0
772,162182,49653,9,8,2,3,762,6,2,0,42,1,0,0,0,0,8.4,4.0,10.0,3.81,7.6,0
398,157145,95481,24,7,2,2,156,3,1,0,32,1,0,1,0,0,10.0,5.0,10.0,1.0,5.8,0
452,120846,57802,24,8,3,1,974,13,1,1,13,1,0,0,0,0,10.0,7.5,9.75,8.870000000000001,10.0,0
637,100818,12549,23,6,1,3,141,12,1,1,33,1,0,0,0,0,10.0,2.5,10.0,4.705,10.0,0
462,161267,83933,5,7,3,2,741,9,2,1,1,1,0,0,0,0,6.2,6.5,4.15,7.705,9.399999999999999,0
460,21537,30362,21,1,3,1,859,13,0,1,19,1,0,0,0,0,9.0,7.5,10.0,8.295,10.0,0
697,168210,52842,16,5,3,3,113,0,2,1,41,0,0,0,0,0,9.4,5.5,9.35,4.5649999999999995,4.0,0
576,195400,51539,15,4,3,2,562,4,2,1,15,0,1,0,0,0,8.4,6.5,5.25,6.8100000000000005,6.4,0
803,197274,38717,14,3,1,3,577,3,2,1,2,1,0,0,0,0,7.4,2.5,6.1,6.885,5.8,0
691,191236,59596,21,2,2,2,832,5,0,1,45,1,0,0,0,0,9.6,5.0,10.0,8.16,7.0,0
434,146545,28016,13,9,4,3,771,12,2,1,29,1,0,0,0,0,10.0,7.0,9.95,7.855,10.0,0
494,109743,60200,3,8,3,3,251,6,2,1,22,1,0,0,0,0,6.0,5.5,6.9,5.255,7.6,0
700,205731,85268,3,2,3,1,936,14,2,1,38,1,0,0,0,0,2.4000000000000004,7.5,9.3,8.68,10.0,0
332,106155,65287,1,6,3,3,648,10,2,1,22,1,0,0,0,0,3.9999999999999996,5.5,6.5,7.24,10.0,0
